message,language,expected_entity_type,expected_code,expected_entity_value
I work as a software engineer. ,EN,_JOB,200, Software engineer
Her job is to be a teacher. ,EN,_JOB,200, Teacher
He is employed as a doctor. ,EN,_JOB,200, Doctor
My profession is a lawyer. ,EN,_JOB,200, Lawyer
She works as a nurse. ,EN,_JOB,200, Nurse
He is a firefighter. ,EN,_JOB,200, Firefighter
My job is to be a chef. ,EN,_JOB,200, Chef
I work as a graphic designer. ,EN,_JOB,200, Graphic designer
He is an accountant. ,EN,_JOB,200, Accountant
She works as a sales representative. ,EN,_JOB,200, Sales representative
My profession is a journalist. ,EN,_JOB,200, Journalist
He is employed as an architect. ,EN,_JOB,200, Architect
I work as a marketing manager. ,EN,_JOB,200, Marketing manager
She is a police officer. ,EN,_JOB,200, Police officer
His job is to be a pilot. ,EN,_JOB,200, Pilot
I work as a financial analyst. ,EN,_JOB,200, Financial analyst
She is a librarian. ,EN,_JOB,200, Librarian
He is employed as a mechanic. ,EN,_JOB,200, Mechanic
My profession is a dentist. ,EN,_JOB,200, Dentist
I work as a software developer. ,EN,_JOB,200, Software developer
She is a pharmacist. ,EN,_JOB,200, Pharmacist
His job is to be a photographer. ,EN,_JOB,200, Photographer
I work as a project manager. ,EN,_JOB,200, Project manager
He is a construction worker. ,EN,_JOB,200, Construction worker
My profession is a professor. ,EN,_JOB,200, Professor
She is employed as a psychologist. ,EN,_JOB,200, Psychologist
I work as a data analyst. ,EN,_JOB,200, Data analyst
He is a mechanic. ,EN,_JOB,200, Mechanic
She works as a financial advisor. ,EN,_JOB,200, Financial advisor
My job is to be a fashion designer. ,EN,_JOB,200, Fashion designer
I work as a teacher. ,EN,_JOB,200, Teacher
She is a nurse. ,EN,_JOB,200, Nurse
His job is to be a software engineer. ,EN,_JOB,200, Software engineer
I work as a lawyer. ,EN,_JOB,200, Lawyer
My profession is a chef. ,EN,_JOB,200, Chef
I work as a nurse practitioner. ,EN,_JOB,200, Nurse practitioner
She is a marketing manager. ,EN,_JOB,200, Marketing manager
His job is to be a graphic designer. ,EN,_JOB,200, Graphic designer
I work as a police officer. ,EN,_JOB,200, Police officer
He is a pilot. ,EN,_JOB,200, Pilot
My profession is an accountant. ,EN,_JOB,200, Accountant
She works as a software developer. ,EN,_JOB,200, Software developer
I work as a journalist. ,EN,_JOB,200, Journalist
He is a dentist. ,EN,_JOB,200, Dentist
She is a teacher. ,EN,_JOB,200, Teacher
His job is to be a project manager. ,EN,_JOB,200, Project manager
I work as a pharmacist. ,EN,_JOB,200, Pharmacist
She is a photographer. ,EN,_JOB,200, Photographer
My profession is a mechanic. ,EN,_JOB,200, Mechanic
I work as a psychologist. ,EN,_JOB,200, Psychologist
He is a lawyer. ,EN,_JOB,200, Lawyer
She works as a data analyst. ,EN,_JOB,200, Data analyst
His job is to be a construction worker. ,EN,_JOB,200, Construction worker
I work as a professor. ,EN,_JOB,200, Professor
She is a software engineer. ,EN,_JOB,200, Software engineer
My profession is a doctor. ,EN,_JOB,200, Doctor
She works as a marketing manager. ,EN,_JOB,200, Marketing manager
She is a pilot. ,EN,_JOB,200, Pilot
My profession is a librarian. ,EN,_JOB,200, Librarian
I work as a financial consultant. ,EN,_JOB,200, Financial consultant
She is a software tester. ,EN,_JOB,200, Software tester
His job is to be a veterinarian. ,EN,_JOB,200, Veterinarian
My profession is a civil engineer. ,EN,_JOB,200, Civil engineer
I work as a content writer. ,EN,_JOB,200, Content writer
He is a marketing coordinator. ,EN,_JOB,200, Marketing coordinator
My job is to be a research scientist. ,EN,_JOB,200, Research scientist
I work as a social media manager. ,EN,_JOB,200, Social media manager
She is a customer service representative. ,EN,_JOB,200, Customer service representative
His job is to be a financial advisor. ,EN,_JOB,200, Financial advisor
I work as a fitness trainer. ,EN,_JOB,200, Fitness trainer
She is an event planner. ,EN,_JOB,200, Event planner
My profession is a software architect. ,EN,_JOB,200, Software architect
I work as a product manager. ,EN,_JOB,200, Product manager
He is a business analyst. ,EN,_JOB,200, Business analyst
My job is to be a fashion stylist. ,EN,_JOB,200, Fashion stylist
I work as a physical therapist. ,EN,_JOB,200, Physical therapist
She is a project coordinator. ,EN,_JOB,200, Project coordinator
His job is to be a marketing director. ,EN,_JOB,200, Marketing director
I work as a UX designer. ,EN,_JOB,200, UX designer
She is a financial controller. ,EN,_JOB,200, Financial controller
My profession is a research analyst. ,EN,_JOB,200, Research analyst
I work as a data scientist. ,EN,_JOB,200, Data scientist
He is a mechanical engineer. ,EN,_JOB,200, Mechanical engineer
My job is to be a travel agent. ,EN,_JOB,200, Travel agent
I work as a HR manager. ,EN,_JOB,200, HR manager
She is an interior designer. ,EN,_JOB,200, Interior designer
His job is to be a business consultant. ,EN,_JOB,200, Business consultant
I work as a software project manager. ,EN,_JOB,200, Software project manager
She is a marketing specialist. ,EN,_JOB,200, Marketing specialist
My profession is a financial planner. ,EN,_JOB,200, Financial planner
They are architects. ,EN,_JOB,200, Architect
I work as a customer success manager. ,EN,_JOB,200, Customer success manager
He is a data analyst. ,EN,_JOB,200, Data analyst
My job is to be a fashion buyer. ,EN,_JOB,200, Fashion buyer
I work as a clinical psychologist. ,EN,_JOB,200, Clinical psychologist
She is a sales manager. ,EN,_JOB,200, Sales manager
His job is to be an investment banker. ,EN,_JOB,200, Investment banker
I work as a software quality assurance analyst. ,EN,_JOB,200, Software quality assurance analyst
She is an HR coordinator. ,EN,_JOB,200, HR coordinator
My profession is a marketing strategist. ,EN,_JOB,200, Marketing strategist
I work as a web developer. ,EN,_JOB,200, Web developer
He is a financial analyst. ,EN,_JOB,200, Financial analyst
My job is to be a fashion photographer. ,EN,_JOB,200, Fashion photographer
I work as an event coordinator. ,EN,_JOB,200, Event coordinator
She is a business development manager. ,EN,_JOB,200, Business development manager
His job is to be a UX researcher. ,EN,_JOB,200, UX researcher
I work as a supply chain analyst. ,EN,_JOB,200, Supply chain analyst
She is a social worker. ,EN,_JOB,200, Social worker
My profession is a data engineer. ,EN,_JOB,200, Data engineer
I work as a sales representative. ,EN,_JOB,200, Sales representative
He is a project manager. ,EN,_JOB,200, Project manager
My job is to be a travel blogger. ,EN,_JOB,200, Travel blogger
I work as a marketing coordinator. ,EN,_JOB,200, Marketing coordinator
She is a financial planner. ,EN,_JOB,200, Financial planner
His job is to be a software consultant. ,EN,_JOB,200, Software consultant
I work as a business development coordinator. ,EN,_JOB,200, Business development coordinator
She is a market researcher. ,EN,_JOB,200, Market researcher
They are software engineers. ,EN,_JOB,200, Software engineer
I work as an operations manager. ,EN,_JOB,200, Operations manager
He is a financial controller. ,EN,_JOB,200, Financial controller
She is a financial analyst. ,EN,_JOB,200, Financial analyst
I work as an HR manager. ,EN,_JOB,200, HR manager
I work as a software support specialist. ,EN,_JOB,200, Software support specialist
She is a business consultant. ,EN,_JOB,200, Business consultant
His job is to be a financial analyst. ,EN,_JOB,200, Financial analyst
My profession is a graphic designer. ,EN,_JOB,200, Graphic designer
I work as a social media strategist. ,EN,_JOB,200, Social media strategist
He is a customer service manager. ,EN,_JOB,200, Customer service manager
My job is to be a data entry clerk. ,EN,_JOB,200, Data entry clerk
I work as a project coordinator. ,EN,_JOB,200, Project coordinator
She is an HR specialist. ,EN,_JOB,200, HR specialist
His job is to be a marketing executive. ,EN,_JOB,200, Marketing executive
I work as a software trainer. ,EN,_JOB,200, Software trainer
She is an event coordinator. ,EN,_JOB,200, Event coordinator
My profession is a systems analyst. ,EN,_JOB,200, Systems analyst
I work as a product marketer. ,EN,_JOB,200, Product marketer
He is a business development executive. ,EN,_JOB,200, Business development executive
My job is to be a fashion blogger. ,EN,_JOB,200, Fashion blogger
I work as a physical education teacher. ,EN,_JOB,200, Physical education teacher
She is a project manager. ,EN,_JOB,200, Project manager
His job is to be a marketing manager. ,EN,_JOB,200, Marketing manager
I work as a user experience researcher. ,EN,_JOB,200, User experience researcher
My profession is a market analyst. ,EN,_JOB,200, Market analyst
They are engineers. ,EN,_JOB,200, Engineer
I work as a content strategist. ,EN,_JOB,200, Content strategist
He is a data scientist. ,EN,_JOB,200, Data scientist
My job is to be a travel consultant. ,EN,_JOB,200, Travel consultant
I work as an operations coordinator. ,EN,_JOB,200, Operations coordinator
She is a fashion designer. ,EN,_JOB,200, Fashion designer
His job is to be a brand manager. ,EN,_JOB,200, Brand manager
She is a marketing coordinator. ,EN,_JOB,200, Marketing coordinator
My profession is a financial advisor. ,EN,_JOB,200, Financial advisor
I work as a customer success specialist. ,EN,_JOB,200, Customer success specialist
I work as a physical therapist assistant. ,EN,_JOB,200, Physical therapist assistant
She is a sales representative. ,EN,_JOB,200, Sales representative
His job is to be a digital marketing manager. ,EN,_JOB,200, Digital marketing manager
I work as a software quality assurance engineer. ,EN,_JOB,200, Software quality assurance engineer
She is an HR generalist. ,EN,_JOB,200, HR generalist
My profession is a marketing coordinator. ,EN,_JOB,200, Marketing coordinator
I work as a web designer. ,EN,_JOB,200, Web designer
I work as an event planner. ,EN,_JOB,200, Event planner
She is a business development specialist. ,EN,_JOB,200, Business development specialist
I work as a supply chain manager. ,EN,_JOB,200, Supply chain manager
I work as a sales manager. ,EN,_JOB,200, Sales manager
She is a social media manager. ,EN,_JOB,200, Social media manager
My profession is a data scientist. ,EN,_JOB,200, Data scientist
He is a financial consultant. ,EN,_JOB,200, Financial consultant
I work as a software engineer ,EN,_JOB,200, software engineer
The doctor examined my condition ,EN,_JOB,200, doctor
The chef prepared a delicious meal ,EN,_JOB,200, chef
The teacher explained the concept in detail ,EN,_JOB,200, teacher
I hired a plumber to fix the leak ,EN,_JOB,200, plumber
The police officer patrolled the streets ,EN,_JOB,200, police officer
The architect designed a stunning building ,EN,_JOB,200, architect
The writer published a bestselling novel ,EN,_JOB,200, writer
The pilot flew the plane with precision ,EN,_JOB,200, pilot
The mechanic repaired my car ,EN,_JOB,200, mechanic
The lawyer presented a compelling case ,EN,_JOB,200, lawyer
The accountant managed the company's finances ,EN,_JOB,200, accountant
The artist painted a beautiful landscape ,EN,_JOB,200, artist
The electrician fixed the electrical wiring ,EN,_JOB,200, electrician
The nurse cared for the patients ,EN,_JOB,200, nurse
The scientist conducted experiments in the lab ,EN,_JOB,200, scientist
The firefighter bravely rescued the trapped individuals ,EN,_JOB,200, firefighter
The musician played a captivating melody ,EN,_JOB,200, musician
The chef cooked a gourmet meal ,EN,_JOB,200, chef
The journalist reported on the latest news ,EN,_JOB,200, journalist
The construction worker built the new bridge ,EN,_JOB,200, construction worker
The salesperson convinced me to buy the product ,EN,_JOB,200, salesperson
The pharmacist filled the prescription ,EN,_JOB,200, pharmacist
The receptionist greeted visitors at the front desk ,EN,_JOB,200, receptionist
The farmer harvested the crops ,EN,_JOB,200, farmer
The engineer designed a new bridge ,EN,_JOB,200, engineer
The therapist helped me overcome my fears ,EN,_JOB,200, therapist
The dentist examined my teeth ,EN,_JOB,200, dentist
The chef baked a delicious cake ,EN,_JOB,200, chef
The actor performed on stage ,EN,_JOB,200, actor
The photographer captured beautiful moments ,EN,_JOB,200, photographer
The researcher conducted a study on climate change ,EN,_JOB,200, researcher
The flight attendant served the passengers ,EN,_JOB,200, flight attendant
The coach trained the athletes ,EN,_JOB,200, coach
The plumber fixed the leaky faucet ,EN,_JOB,200, plumber
The teacher inspired the students ,EN,_JOB,200, teacher
The police officer arrested the suspect ,EN,_JOB,200, police officer
The architect drew blueprints for the building ,EN,_JOB,200, architect
The writer wrote an insightful article ,EN,_JOB,200, writer
The pilot navigated through turbulent weather ,EN,_JOB,200, pilot
The mechanic repaired the engine ,EN,_JOB,200, mechanic
The lawyer defended the client in court ,EN,_JOB,200, lawyer
The accountant prepared the financial statements ,EN,_JOB,200, accountant
The artist sculpted a masterpiece ,EN,_JOB,200, artist
The electrician installed new light fixtures ,EN,_JOB,200, electrician
The nurse administered medication to the patients ,EN,_JOB,200, nurse
The scientist made a groundbreaking discovery ,EN,_JOB,200, scientist
The firefighter extinguished the fire ,EN,_JOB,200, firefighter
The musician composed a beautiful symphony ,EN,_JOB,200, musician
The chef created a unique recipe ,EN,_JOB,200, chef
The journalist interviewed a famous celebrity ,EN,_JOB,200, journalist
The construction worker operated heavy machinery ,EN,_JOB,200, construction worker
The salesperson closed a big deal ,EN,_JOB,200, salesperson
The pharmacist provided medication information ,EN,_JOB,200, pharmacist
The receptionist answered phone calls ,EN,_JOB,200, receptionist
The farmer planted seeds in the field ,EN,_JOB,200, farmer
The engineer developed a new technology ,EN,_JOB,200, engineer
The therapist listened to my problems ,EN,_JOB,200, therapist
The dentist performed a dental procedure ,EN,_JOB,200, dentist
The actor starred in a blockbuster movie ,EN,_JOB,200, actor
The photographer captured stunning portraits ,EN,_JOB,200, photographer
The researcher analyzed data for the study ,EN,_JOB,200, researcher
The flight attendant ensured passenger safety ,EN,_JOB,200, flight attendant
The coach motivated the team to win ,EN,_JOB,200, coach
The plumber unclogged the drain ,EN,_JOB,200, plumber
The teacher evaluated the students' performance ,EN,_JOB,200, teacher
The police officer investigated the crime scene ,EN,_JOB,200, police officer
The architect visited the construction site ,EN,_JOB,200, architect
The writer edited the manuscript ,EN,_JOB,200, writer
The mechanic diagnosed the car's problem ,EN,_JOB,200, mechanic
The lawyer negotiated a settlement ,EN,_JOB,200, lawyer
The accountant audited the financial records ,EN,_JOB,200, accountant
The artist exhibited paintings in a gallery ,EN,_JOB,200, artist
The electrician fixed the faulty wiring ,EN,_JOB,200, electrician
The nurse assisted in surgeries ,EN,_JOB,200, nurse
The scientist presented research findings ,EN,_JOB,200, scientist
The firefighter trained for emergency situations ,EN,_JOB,200, firefighter
The musician played a concert for a large audience ,EN,_JOB,200, musician
The chef garnished the dish with fresh herbs ,EN,_JOB,200, chef
The journalist investigated a corruption scandal ,EN,_JOB,200, journalist
The construction worker laid bricks for the wall ,EN,_JOB,200, construction worker
The salesperson persuaded customers to make a purchase ,EN,_JOB,200, salesperson
The pharmacist dispensed medication to patients ,EN,_JOB,200, pharmacist
The receptionist scheduled appointments for clients ,EN,_JOB,200, receptionist
The farmer milked the cows on the farm ,EN,_JOB,200, farmer
The engineer designed a new software program ,EN,_JOB,200, engineer
The therapist provided counseling services ,EN,_JOB,200, therapist
The dentist performed a tooth extraction ,EN,_JOB,200, dentist
The chef experimented with fusion cuisine ,EN,_JOB,200, chef
The actor rehearsed for the play ,EN,_JOB,200, actor
The photographer captured breathtaking landscapes ,EN,_JOB,200, photographer
The researcher collected data for the experiment ,EN,_JOB,200, researcher
The flight attendant served meals to passengers ,EN,_JOB,200, flight attendant
The coach devised a winning strategy ,EN,_JOB,200, coach
The plumber installed a new plumbing system ,EN,_JOB,200, plumber
The architect supervised the construction project ,EN,_JOB,200, architect
The writer crafted compelling stories ,EN,_JOB,200, writer
The pilot performed aerobatic stunts ,EN,_JOB,200, pilot
The lawyer provided legal advice to clients ,EN,_JOB,200, lawyer
The accountant analyzed financial data ,EN,_JOB,200, accountant
The artist exhibited sculptures in an art gallery ,EN,_JOB,200, artist
The electrician installed a new electrical panel ,EN,_JOB,200, electrician
The nurse assisted in the delivery of a baby ,EN,_JOB,200, nurse
The scientist conducted research experiments ,EN,_JOB,200, scientist
The musician performed a solo concert ,EN,_JOB,200, musician
The chef catered a grand wedding reception ,EN,_JOB,200, chef
The journalist reported from a war zone ,EN,_JOB,200, journalist
The construction worker operated a crane ,EN,_JOB,200, construction worker
The salesperson attended a trade show ,EN,_JOB,200, salesperson
The pharmacist provided medication counseling ,EN,_JOB,200, pharmacist
The receptionist managed appointment schedules ,EN,_JOB,200, receptionist
The farmer cultivated crops on a vast field ,EN,_JOB,200, farmer
The engineer inspected the bridge for structural integrity ,EN,_JOB,200, engineer
The therapist guided clients through therapy sessions ,EN,_JOB,200, therapist
The dentist performed a root canal procedure ,EN,_JOB,200, dentist
The chef created a fusion of flavors ,EN,_JOB,200, chef
The actor auditioned for a lead role ,EN,_JOB,200, actor
The photographer documented a cultural festival ,EN,_JOB,200, photographer
The researcher analyzed survey data ,EN,_JOB,200, researcher
The flight attendant demonstrated safety procedures ,EN,_JOB,200, flight attendant
The coach mentored young athletes ,EN,_JOB,200, coach
The plumber fixed a leaking pipe ,EN,_JOB,200, plumber
The teacher organized educational field trips ,EN,_JOB,200, teacher
The police officer patrolled the neighborhood ,EN,_JOB,200, police officer
The architect designed sustainable buildings ,EN,_JOB,200, architect
The writer published articles in a renowned magazine ,EN,_JOB,200, writer
The pilot executed a flawless landing ,EN,_JOB,200, pilot
The mechanic tuned up the car engine ,EN,_JOB,200, mechanic
The lawyer researched legal precedents ,EN,_JOB,200, lawyer
The accountant prepared tax documents ,EN,_JOB,200, accountant
The artist sketched portraits of people ,EN,_JOB,200, artist
The electrician repaired a faulty circuit ,EN,_JOB,200, electrician
The nurse administered vaccinations ,EN,_JOB,200, nurse
The scientist collaborated with other researchers ,EN,_JOB,200, scientist
The firefighter conducted fire safety drills ,EN,_JOB,200, firefighter
The musician composed a film soundtrack ,EN,_JOB,200, musician
The chef experimented with molecular gastronomy ,EN,_JOB,200, chef
The journalist wrote investigative reports ,EN,_JOB,200, journalist
The construction worker demolished an old building ,EN,_JOB,200, construction worker
The salesperson conducted product demonstrations ,EN,_JOB,200, salesperson
The pharmacist compounded personalized medications ,EN,_JOB,200, pharmacist
The receptionist greeted guests at a hotel ,EN,_JOB,200, receptionist
The farmer herded livestock on the farm ,EN,_JOB,200, farmer
The engineer tested prototypes in a laboratory ,EN,_JOB,200, engineer
The therapist helped clients manage anxiety ,EN,_JOB,200, therapist
The dentist performed teeth whitening procedures ,EN,_JOB,200, dentist
The chef sourced fresh ingredients from local markets ,EN,_JOB,200, chef
The actor portrayed a historical figure in a play ,EN,_JOB,200, actor
The photographer captured candid moments at a wedding ,EN,_JOB,200, photographer
The researcher presented findings at a scientific conference ,EN,_JOB,200, researcher
The coach analyzed game strategies ,EN,_JOB,200, coach
The plumber installed a new water heater ,EN,_JOB,200, plumber
The teacher mentored new educators ,EN,_JOB,200, teacher
The police officer apprehended a suspect ,EN,_JOB,200, police officer
The architect created innovative building designs ,EN,_JOB,200, architect
The writer conducted interviews for a magazine article ,EN,_JOB,200, writer
The pilot coordinated air traffic control communications ,EN,_JOB,200, pilot
The mechanic diagnosed and repaired engine problems ,EN,_JOB,200, mechanic
The lawyer negotiated a contract on behalf of a client ,EN,_JOB,200, lawyer
The accountant conducted financial audits ,EN,_JOB,200, accountant
The artist experimented with mixed media art ,EN,_JOB,200, artist
The electrician upgraded the electrical system ,EN,_JOB,200, electrician
The nurse provided care in the emergency room ,EN,_JOB,200, nurse
The scientist developed a new drug formulation ,EN,_JOB,200, scientist
The firefighter conducted fire safety inspections ,EN,_JOB,200, firefighter
The musician taught music lessons to aspiring musicians ,EN,_JOB,200, musician
The chef hosted a cooking show on television ,EN,_JOB,200, chef
The journalist wrote feature articles for a newspaper ,EN,_JOB,200, journalist
The construction worker installed drywall in a building ,EN,_JOB,200, construction worker
The salesperson negotiated a business contract ,EN,_JOB,200, salesperson
The athlete coached a youth sports team ,EN,_JOB,200, athlete
The pharmacist managed a pharmacy's inventory ,EN,_JOB,200, pharmacist
The receptionist handled customer inquiries at a busy office ,EN,_JOB,200, receptionist
The farmer operated heavy machinery on the farm ,EN,_JOB,200, farmer
The therapist facilitated group therapy sessions ,EN,_JOB,200, therapist
The dentist fitted braces on patients ,EN,_JOB,200, dentist
The chef organized a charity cooking event ,EN,_JOB,200, chef
The actor performed in a Shakespearean play ,EN,_JOB,200, actor
The photographer captured architectural landmarks ,EN,_JOB,200, photographer
The researcher conducted experiments in a laboratory ,EN,_JOB,200, researcher
The flight attendant assisted passengers with special needs ,EN,_JOB,200, flight attendant
The coach motivated the team to overcome challenges ,EN,_JOB,200, coach
The plumber repaired a burst pipe ,EN,_JOB,200, plumber
The teacher developed a curriculum for a new course ,EN,_JOB,200, teacher
The police officer solved a complex criminal case ,EN,_JOB,200, police officer
The architect renovated historical buildings ,EN,_JOB,200, architect
The writer crafted persuasive advertising copy ,EN,_JOB,200, writer
The pilot conducted flight simulations ,EN,_JOB,200, pilot
The mechanic restored vintage cars ,EN,_JOB,200, mechanic
She works as a doctor ,EN,_JOB,200, doctor
His job is a software engineer ,EN,_JOB,200, software engineer
The company hired him as a project manager ,EN,_JOB,200, project manager
She is a teacher at the local school ,EN,_JOB,200, teacher
He earns a living as a lawyer ,EN,_JOB,200, lawyer
Her occupation is a nurse ,EN,_JOB,200, nurse
He is employed as a mechanic ,EN,_JOB,200, mechanic
She works as a chef in a renowned restaurant ,EN,_JOB,200, chef
His job title is a financial analyst ,EN,_JOB,200, financial analyst
She is a police officer serving the community ,EN,_JOB,200, police officer
He is a firefighter saving lives ,EN,_JOB,200, firefighter
Her profession is a pharmacist ,EN,_JOB,200, pharmacist
He works as an accountant in a multinational firm ,EN,_JOB,200, accountant
She is an architect designing beautiful buildings ,EN,_JOB,200, architect
He is a pilot flying commercial airplanes ,EN,_JOB,200, pilot
Her job involves being a marketing manager ,EN,_JOB,200, marketing manager
